,1,2,accuracy,macro avg,weighted avg
precision,0.0,0.9857354474131782,0.9857084076258401,0.4928677237065891,0.9716747579973272
recall,0.0,0.999972171977181,0.9857084076258401,0.4999860859885905,0.9857084076258401
f1-score,0.0,0.9928027739021122,0.9857084076258401,0.4964013869510561,0.9786412750013004
support,520.0,35935.0,0.9857084076258401,36455.0,36455.0
