,1,2,accuracy,macro avg,weighted avg
precision,0.6529850746268657,0.9904661895155719,0.987985187217117,0.8217256320712187,0.9856523044588683
recall,0.33653846153846156,0.997411993877835,0.987985187217117,0.6669752277081482,0.987985187217117
f1-score,0.44416243654822335,0.9939269571004685,0.987985187217117,0.7190446968243459,0.9860850273051821
support,520.0,35935.0,0.987985187217117,36455.0,36455.0
